'http://deb.debian.org/debian/pool/main/a/alsa-lib/libasound2_1.2.8-1%2bb1_amd64.deb' libasound2_1.2.8-1+b1_amd64.deb 361788 SHA256:44c77b076a7b11ae99712439022d822245b1994c435da564ebd320bb676faf4c
'http://deb.debian.org/debian/pool/main/c/cups/libcups2_2.4.2-3%2bdeb12u8_amd64.deb' libcups2_2.4.2-3+deb12u8_amd64.deb 245772 SHA256:47b81d3eb34c2546cce70aeed61742c6e4c379e7fb0d3358aa80ea7b3ff8acf0
'http://deb.debian.org/debian/pool/main/liba/libassuan/libassuan0_2.5.5-5_amd64.deb' libassuan0_2.5.5-5_amd64.deb 48464 SHA256:5912430927da16ccc831459679207fdbb9dfc5a206f2bab8d6f36d5a1ab53e25
'http://deb.debian.org/debian/pool/main/n/npth/libnpth0_1.6-3_amd64.deb' libnpth0_1.6-3_amd64.deb 18980 SHA256:43c90d45f7cf5584108964b919d6c728680d81af5fa70c8fb367d661cef54e8c
'http://deb.debian.org/debian/pool/main/p/python-hyperframe/python3-hyperframe_6.0.0-1_all.deb' python3-hyperframe_6.0.0-1_all.deb 14488 SHA256:6bdbf980b0583b8ae2abd5dae576dec920e98dfba45502ea132f7c2a3586da9b
'http://deb.debian.org/debian/pool/main/p/python-jmespath/python3-jmespath_1.0.1-1_all.deb' python3-jmespath_1.0.1-1_all.deb 21112 SHA256:2b4351db7f00a8e4840140572b337a5005f897eaf6c7d9c929991e85a152d388
'http://deb.debian.org/debian/pool/main/p/python-xmltodict/python3-xmltodict_0.13.0-1_all.deb' python3-xmltodict_0.13.0-1_all.deb 16660 SHA256:a3677ec66e0caf987cf2afe0ab38ea53f6cb145d7c3a777d19744a716c525b59
'http://deb.debian.org/debian/pool/main/p/python3-stdlib-extensions/python3-distutils_3.11.2-3_all.deb' python3-distutils_3.11.2-3_all.deb 130936 SHA256:a620b555f301860a08e30534c7e6f7d79818e5e1977bfec39a612e7003074318
'http://deb.debian.org/debian/pool/main/p/python3-stdlib-extensions/python3-lib2to3_3.11.2-3_all.deb' python3-lib2to3_3.11.2-3_all.deb 76284 SHA256:4e7f5e01e49a0622d10db3d0995666a6ead6a369cd127a996e9a4f9e91696a51
'http://deb.debian.org/debian/pool/main/a/alsa-lib/libasound2-data_1.2.14-1_all.deb' libasound2-data_1.2.14-1_all.deb 21092 SHA256:fe973f6467a6fc553ead004bd5aebfea4eb45c5da827cd3fb32650d9672ac947
